,product_asin,product_name,product_category,overall_rating,review_keyword,user_rating,review_date,review_place,review_title,review_text,finds_helpful
0,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"July 19, 2024",United States,Yummmmm...,I put a bit of this in my homemade Chinese fried rice.. great taste! No damage in shipping and will buy again...quick shipping!!,0
1,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"July 14, 2024",United States,PURE OYSTER LIQUOR SUPER DEAL and (PROBABLY) a HEALTH FOOD BONANZA - you know what they say...?,"I'm surprised how much I ate within hours and this 5 pounder is going to be a regular post right next to the honey.Did you know that ""oyster flavored"" - read the label - means this is like the molasses of the oyster pot? And nothing else! Just no meat - so it's an extract of the oysters - and taste-tee! THANK YOU KIKOMAN for being the best available! SO BETTER THAN SOY SAUCE - NOTHING ADDED AT ALL.",1
2,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"July 6, 2024",United States,Great taste,I used to make the sauce for chicken lo mien and it was delicious. It came fresh and well packaged. Very happy with this purchase and will buy again.,0
3,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"June 29, 2024",United States,Just buy it.,Product arrived exactly as advertised. Taste good and makes a grey brown sauce.,1
4,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"April 8, 2024",United States,It's kikkoman,"I'm sure it isn't the most authentic oyster sauce but it's more economically practical and it's kikkoman, so I can rest assured it's gonna taste good.",0
5,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"March 12, 2024",United States,I like the taste,I use it mostly in my cooking,0
6,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"December 25, 2023",United States,"Kikkoman Oyster Flavored Sauce-Red Label, 12.6 Ounce Tasts Great","I used this product to make several Korean dishes.  Kikkoman Oyster Flavored Sauce-Red Label, 12.6 Ounceadded the taste I needed in the recipe.I recommend this product.",1
7,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"August 21, 2023",United States,Secret to hibachi,Purchased to elevate our hibachi blackstone game. It did the job well. Came well packaged and adds that taste.,0
8,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"July 30, 2023",United States,Taste like oyster sauce to me!,I decided to go with this large bottle because price per oz was cheaper than the little bottles in the store. Taste the same to me but definitely saved me money with the larger bottle. I wish they have this size for sesame oil and hoisin sauce!,2
9,B00842LTE2,Kikkoman Oyster Flavored Sauce-Red Label,oyester_sauce,4.6,taste,5.0,"July 28, 2023",United States,A pantry 'must-have',"If you like making American style Asian food at home, oyster sauce is a must-have item. This one tastes good and lasts a long time in the refrigerator.",1
